symbol,organ_name
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP
CIA,CTCP Dịch vụ Sân bay Quốc tế Cam Ranh
CLL,CTCP Cảng Cát Lái
HTP,CTCP In Sách Giáo khoa Hòa Phát
BT6,CTCP Beton 6
PAI,CTCP Công nghệ thông tin Viễn thông và Tự động hóa Dầu Khí
LGL,CTCP Đầu tư và Phát triển Đô thị Long Giang
APT,CTCP Kinh doanh Thủy Hải Sản Sài Gòn
QPH,CTCP Thủy điện Quế Phong
VXT,CTCP Kho vận và Dịch vụ Thương mại
TV4,CTCP Tư vấn Xây dựng Điện 4
TRT,CTCP RedstarCera
TTG,CTCP Royal Healthtech TTG 
VMA,CTCP Công nghiệp Ô tô - Vinacomin
CLX,CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX)
PVR,CTCP Đầu tư PVR Hà Nội
PHP,CTCP Cảng Hải Phòng
BFC,CTCP Phân bón Bình Điền
GIL,CTCP Sản xuất Kinh doanh và Xuất nhập khẩu Bình Thạnh
GLW,CTCP Cấp thoát nước Gia Lai
PTV,CTCP Thương mại Dầu khí
TIG,CTCP Tập đoàn Đầu tư Thăng Long
VGP,CTCP Cảng Rau Quả
MTP,CTCP Dược Medipharco
GLC,CTCP Vàng Lào Cai
TR1,CTCP Vận Tải 1 Traco
BCR,CTCP BCG Land
PHH,CTCP Hồng Hà Việt Nam
VXB,CTCP Vật liệu Xây dựng Bến Tre
PHR,CTCP Cao su Phước Hòa
HVA,CTCP Đầu tư HVA
PPI,CTCP Đầu tư và Phát triển Dự án Hạ tầng Thái Bình Dương
FPT,CTCP FPT
SD2,CTCP Sông Đà 2
KSQ,CTCP CNC Capital Việt Nam
PCH,CTCP Picomat Holding
BKC,CTCP Khoáng sản Bắc Kạn
DCH,CTCP Địa chính Hà Nội
CDP,CTCP Dược phẩm Trung ương Codupha
NLS,CTCP Cấp thoát nước Lạng Sơn
DGC,CTCP Tập đoàn Hóa chất Đức Giang
HLO,CTCP Công nghệ Ha Lô
VMC,CTCP Vimeco
NVL,CTCP Tập đoàn Đầu tư Địa ốc No Va 
VTK,CTCP Tư Vấn Và Dịch Vụ Viettel
LAF,CTCP Chế biến hàng Xuất khẩu Long An
MHL,CTCP Minh Hữu Liên
TPC,CTCP Nhựa Tân Đại Hưng
LHG,CTCP Long Hậu
AIC,Tổng Công ty Cổ phần Bảo hiểm DBV
SGI,CTCP Đầu tư SGI Holdings
VSC,CTCP Container Việt Nam
PTX,CTCP Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh
DVM,CTCP Dược liệu Việt Nam
DAS,CTCP Máy - Thiết bị Dầu khí Đà Nẵng
MCP,CTCP In và Bao bì Mỹ Châu
PNG,CTCP Thương mại Phú Nhuận
PVI,CTCP PVI
VNS,CTCP Ánh Dương Việt Nam
VPC,CTCP Đầu tư và Phát triển Năng lượng Việt Nam
THG,CTCP Đầu tư và Xây dựng Tiền Giang
IDC,Tổng Công ty IDICO - CTCP
VTQ,CTCP Việt Trung Quảng Bình
BMI,Tổng Công ty cổ phần Bảo Minh
TKA,CTCP Bao bì Tân Khánh An
E29,CTCP Đầu tư Xây dựng và Kỹ thuật 29
PVM,CTCP Máy - Thiết bị Dầu khí
MBT,CTCP Bất động sản cho thuê Minh Bảo Tín
SFI,CTCP Đại lý Vận tải SAFI
L62,CTCP Lilama 69-2
QST,CTCP Sách và Thiết bị Trường học Quảng Ninh
HDM,CTCP Dệt may Huế
FCM,CTCP Bê tông Phan Vũ Hà Nam
KDC,CTCP Tập đoàn KIDO
VGS,CTCP Ống thép Việt - Đức VG PIPE
BCC,CTCP Xi măng Bỉm Sơn
MQN,CTCP Môi trường đô thị Quảng Ngãi
CPI,CTCP Đầu tư Cảng Cái Lân
QHW,CTCP Nước khoáng Quảng Ninh
LO5,CTCP Lilama 5
CAN,CTCP Đồ hộp Hạ Long
BT1,CTCP Bảo vệ Thực vật 1 Trung Ương
POS,CTCP Vận hành và Xây lắp PTSC
PAT,CTCP Phốt Pho Apatit Việt Nam
UXC,CTCP Chế biến Thủy sản Út Xi
VCT,CTCP Tư vấn Xây dựng Vinaconex
ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận
BDT,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp
MND,CTCP Môi trường Nam Định
DPG,CTCP Tập đoàn Đạt Phương
SD6,CTCP Sông Đà 6
NDF,CTCP Chế biến Thực phẩm Nông sản xuất khẩu Nam Định
DKC,CTCP Chợ Lạng Sơn
SGN,CTCP Phục vụ Mặt đất Sài Gòn
NJC,CTCP May Nam Định
LDP,CTCP Dược Lâm Đồng (Ladophar)
PID,CTCP Trang Trí Nội Thất Dầu khí
TTC,CTCP Gạch men Thanh Thanh
HEC,CTCP Tư vấn Xây dựng Thủy Lợi II
SPC,CTCP Bảo vệ Thực vật Sài Gòn
PXA,CTCP Đầu tư và Thương mại Dầu khí Nghệ An
VPR,CTCP VinaPrint
H11,CTCP Xây dựng HUD101
VDN,CTCP Vinatex Đà Nẵng
DMX,CTCP Đầu tư Điện máy Xanh
SCJ,CTCP Xi măng Sài Sơn
GMH,CTCP Minh Hưng Quảng Trị
FTI,CTCP Công nghiệp - Thương mại Hữu Nghị
PLE,CTCP Tư vấn Xây dựng Petrolimex
PGV,Tổng Công ty Phát điện 3 - CTCP
XMP,CTCP Thủy điện Xuân Minh
DSG,CTCP Kính Đáp Cầu
BBT,CTCP Bông Bạch Tuyết
SRC,CTCP Cao su Sao Vàng
KSD,CTCP Đầu tư DNA
NT2,CTCP Điện lực Dầu khí Nhơn Trạch 2
DSC,CTCP Chứng khoán DSC
SGD,CTCP Sách Giáo dục tại Thành phố Hồ Chí Minh
NRC,CTCP Tập đoàn Bất động sản Quốc gia
DCS,CTCP Tập đoàn EDX
PTI,Tổng Công ty cổ phần Bảo hiểm Bưu điện
TNC,CTCP Cao su Thống Nhất
VRG,CTCP Phát triển Đô thị và Khu công nghiệp Cao su Việt Nam
HC3,CTCP Xây dựng Số 3 Hải Phòng
LEC,CTCP Bất động sản Điện lực Miền Trung
PPE,CTCP Tư vấn đầu tư PP Enterprise
QNC,CTCP Xi măng và Xây dựng Quảng Ninh
DIH,CTCP Đầu tư Phát triển Xây dựng - Hội An
PAC,CTCP Pin Ắc quy Miền Nam
PLA,CTCP Đầu tư và Dịch vụ Hạ tầng Xăng dầu
MDA,CTCP Môi trường Đô thị Đông Anh
GMX,CTCP Gạch ngói Gốm Xây dựng Mỹ Xuân
VNF,CTCP Vinafreight
SBS,CTCP Chứng khoán SBS
CRV,CTCP Tập đoàn Bất động sản CRV
GTA,CTCP Chế biến gỗ Thuận An
DAC,CTCP 382 Đông Anh
IVS,CTCP Chứng khoán Guotai Haitong (Việt Nam)
PSD,CTCP Dịch vụ Phân phối Tổng hợp Dầu khí
PTM,CTCP Sản xuất Thương mại và Dịch vụ Ô tô PTM
HGM,CTCP Cơ khí và Khoáng sản Hà Giang
ANT,CTCP Rau quả Thực phẩm An Giang
VBC,CTCP Nhựa - Bao bì Vinh
CCM,CTCP khoáng sản và Xi măng Cần Thơ
DHC,CTCP Đông Hải Bến Tre
LPT,CTCP Thương mại và Sản xuất Lập Phương Thành
BHK,CTCP Bia Hà Nội - Kim Bài
VOS,CTCP Vận tải Biển Việt Nam
TLH,CTCP Tập đoàn Thép Tiến Lên
CCR,CTCP Cảng Cam Ranh
MSR,CTCP Masan High-Tech Materials
CCC,CTCP Xây dựng CDC
ALV,CTCP Tập đoàn MCST
PCB,Ngân hàng TMCP Đại chúng Việt Nam
BAB,Ngân hàng TMCP Bắc Á
ARM,CTCP Xuất nhập khẩu Hàng không
BRS,CTCP Dịch vụ Đô thị Bà Rịa
DRL,CTCP Thủy điện - Điện Lực 3
L61,CTCP Lilama 69-1
HD6,CTCP Đầu tư và Phát triển Nhà Số 6 Hà Nội
HMS,CTCP Xây dựng Bảo tàng Hồ Chí Minh
ITA,CTCP Đầu tư và Công nghiệp Tân Tạo
STK,CTCP Sợi Thế Kỷ
PSC,CTCP Vận tải và Dịch vụ Petrolimex Sài Gòn
BVB,Ngân hàng TMCP Bản Việt
HGT,CTCP Du lịch Hương Giang
CNT,CTCP Tập đoàn CNT
PJS,CTCP Cấp nước Phú Hòa Tân
DTG,CTCP Dược phẩm Tipharco
PSP,CTCP Cảng Dịch vụ Dầu khí Đình Vũ
CKA,CTCP Cơ Khí An Giang
GKM,CTCP GKM Holdings
TV6,CTCP Tập đoàn EMA Land
RIC,CTCP Quốc tế Hoàng Gia
PNC,CTCP Văn hóa Phương Nam
GMC,CTCP Garmex Sài Gòn
TDH,CTCP Phát triển Nhà Thủ Đức
HU3,CTCP Đầu tư và Xây dựng HUD3
X20,CTCP X20
IST,CTCP ICD Tân Cảng Sóng Thần
VSE,CTCP Dịch vụ Đường cao tốc Việt Nam
BDG,CTCP May mặc Bình Dương
DDH,CTCP Đảm bảo Giao thông Đường thủy Hải Phòng
TMX,CTCP VICEM Thương mại Xi măng
HLA,CTCP Hữu Liên Á Châu
DPH,CTCP Dược phẩm Hải Phòng
GCB,CTCP Petec Bình Định
EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam
NHC,CTCP Gạch ngói Nhị Hiệp
TFC,CTCP Trang
NO1,CTCP Tập đoàn 911
HNI,CTCP May Hữu Nghị
GND,CTCP Gạch ngói Đồng Nai
TIS,CTCP Gang thép Thái Nguyên
HNB,CTCP Bến xe Hà Nội
MIE,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP
GMA,CTCP G-Automobile
TIP,CTCP Phát triển Khu Công nghiệp Tín Nghĩa
HND,CTCP Nhiệt điện Hải Phòng
GEX,CTCP Tập đoàn GELEX
AMC,CTCP Khoáng sản Á Châu
MIG,Tổng Công ty cổ phần Bảo hiểm Quân Đội
GEL,CTCP Hạ tầng GELEX
FMC,CTCP Thực phẩm Sao Ta
KTL,CTCP Kim Khí Thăng Long
VNB,CTCP Sách Việt Nam
NAW,CTCP Cấp nước Nghệ An
UDJ,CTCP Phát triển Đô thị
PTP,CTCP PTP
QBS,CTCP Xuất nhập khẩu Quảng Bình
HAX,CTCP Dịch vụ Ô tô Hàng Xanh
TTF,CTCP Tập đoàn Kỹ nghệ gỗ Trường Thành
ITQ,CTCP Tập đoàn Thiên Quang
MLS,CTCP Chăn nuôi - Mitraco
CSC,CTCP Tập đoàn Cotana
BDW,CTCP Cấp thoát nước Bình Định
MCM,CTCP Giống Bò sữa Mộc Châu
PDR,CTCP Phát triển Bất động sản Phát Đạt
SBD,CTCP Công nghệ Sao Bắc Đẩu
HNG,CTCP Nông nghiệp Quốc tế Hoàng Anh Gia Lai
VMT,CTCP Giao nhận Vận tải miền Trung
TTA,CTCP Đầu tư Xây dựng và Phát triển Trường Thành
VHE,CTCP Dược liệu và Thực phẩm Việt Nam
HLS,CTCP Sứ Kỹ thuật Hoàng Liên Sơn
VW3,CTCP Viwaseen3
PVE,Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP
ST8,CTCP Tập đoàn ST8
API,CTCP Đầu tư Châu Á - Thái Bình Dương
VLW,CTCP Cấp nước Vĩnh Long
ISH,CTCP Thủy điện Srok Phu Miêng IDICO
VHL,CTCP Viglacera Hạ Long
KDH,CTCP Đầu tư và Kinh doanh Nhà Khang Điền
PAN,CTCP Tập đoàn PAN
DST,CTCP Đầu tư Sao Thăng Long
HPI,CTCP Khu công nghiệp Hiệp Phước
DCR,CTCP Gạch men Cosevco
HPB,CTCP Bao bì PP
SVH,CTCP Thủy điện Sông Vàng
ABW,CTCP Chứng khoán An Bình
SCI,CTCP SCI E&C
NOS,CTCP Vận tải biển và Thương mại Phương Đông
PXT,CTCP Xây lắp Đường ống Bể chứa Dầu khí
GER,CTCP Thể thao Ngôi sao Geru
SP2,CTCP Thủy điện Sử Pán 2
MBN,CTCP Môi trường và Công trình đô thị Bắc Ninh
SVC,CTCP Dịch vụ Tổng hợp Sài Gòn
VTC,CTCP Viễn thông VTC
XMD,CTCP Xuân Mai - Đạo Tú
MQB,CTCP Môi trường và Phát triển Đô thị Quảng Bình
IFS,CTCP Thực phẩm Quốc tế
TBR,CTCP Địa ốc Tân Bình
DNH,CTCP Thủy điện Đa Nhim - Hàm Thuận - Đa Mi
EVG,CTCP Tập đoàn EverLand
NBW,CTCP Cấp nước Nhà Bè
HSL,CTCP Đầu tư Phát triển Thực phẩm Hồng Hà
NBB,CTCP Đầu tư Năm Bảy Bảy
DXP,CTCP Cảng Đoạn Xá
HNM,CTCP Sữa Hà Nội
KSF,CTCP Tập đoàn Sunshine
TTS,CTCP Cán Thép Thái Trung
BCV,CTCP Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico
VMD,CTCP Y Dược phẩm Vimedimex
SMB,CTCP Bia Sài Gòn - Miền Trung
VDB,CTCP Vận tải và Chế biến Than Đông Bắc
AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia
DNW,CTCP Cấp nước Đồng Nai
VPD,CTCP Phát triển Điện lực Việt Nam
MPY,CTCP Môi trường Đô thị Phú Yên
BLI,Tổng Công ty cổ phần Bảo hiểm Bảo Long
DTA,CTCP Đệ Tam
LMC,CTCP LUMI Holdings
BVH,Tập đoàn Bảo Việt
EIC,CTCP EVN Quốc tế
TIE,CTCP TIE
DFC,CTCP Xích líp Đông Anh
SAF,CTCP Lương thực Thực phẩm Safoco
VVS,CTCP Đầu tư phát triển máy Việt Nam
DNP,CTCP DNP Holding
HAG,CTCP Hoàng Anh Gia Lai
CPA,CTCP Cà phê Phước An
NED,CTCP Đầu tư và Phát triển Điện Tây Bắc
VDG,CTCP Vạn Đạt Group
MKP,CTCP Hoá - Dược phẩm Mekophar
VNL,CTCP Logistics Vinalink
VIP,CTCP Vận tải Xăng dầu VIPCO
VLP,CTCP Công trình Công cộng Vĩnh Long
X26,CTCP 26
HDG,CTCP Tập đoàn Hà Đô
SSG,CTCP Vận tải biển Hải Âu
PGD,CTCP Phân phối khí thấp áp Dầu khí Việt Nam
PDN,CTCP Cảng Đồng Nai
USD,CTCP Công trình Đô thị Sóc Trăng
CID,CTCP Xây dựng và Phát triển Cơ sở Hạ tầng
TA9,CTCP Xây lắp Thành An 96
A32,CTCP 32
PMP,CTCP Bao bì đạm Phú Mỹ
BGE,CTCP BCG Energy
TIN,Công Ty Tài chính tổng hợp cổ phần Tín Việt
PSN,CTCP Dịch Vụ Kỹ Thuật PTSC Thanh Hóa
VIR,CTCP Du lịch Quốc tế Vũng Tàu
DLR,CTCP Địa ốc Đà Lạt
LTG,CTCP Tập đoàn Lộc Trời
HCM,CTCP Chứng khoán Thành phố Hồ Chí Minh
TPS,CTCP Bến Bãi Vận tải Sài Gòn
VE3,CTCP Xây dựng Điện VNECO 3
TAW,CTCP Cấp nước Trung An
PTO,CTCP Dịch vụ - Xây dựng Công trình Bưu Điện
HMG,CTCP Kim khí Hà Nội - VNSTEEL
VLS,CTCP Sản xuất Thép Việt Long
CNA,CTCP Tổng Công ty Chè Nghệ An
FSO,CTCP Cơ khí đóng tàu Thủy sản Việt Nam
PGN,CTCP Phụ Gia Nhựa
GSP,CTCP Vận tải Sản Phẩm Khí Quốc tế
THW,CTCP Cấp nước Tân Hòa
LM8,CTCP Lilama 18
VTA,CTCP Vitaly
SNC,CTCP Xuất nhập khẩu Thủy sản Năm Căn
E12,CTCP Xây dựng Điện VNECO12
ICI,CTCP Đầu tư và Xây dựng Công nghiệp
OPC,CTCP Dược phẩm OPC
VSF,Tổng Công ty Lương thực Miền Nam - CTCP
TPP,CTCP Tân Phú Việt Nam
HID,CTCP Halcom Việt Nam
FHS,CTCP Phát hành Sách Thành phố Hồ Chí Minh
BLF,CTCP Thủy sản Bạc Liêu
TTE,CTCP Đầu tư Năng lượng Trường Thịnh
EFI,CTCP Đầu tư Tài chính Giáo dục
SD9,CTCP Sông Đà 9
BCG,CTCP Tập đoàn Bamboo Capital
KTT,CTCP Tập đoàn Đầu tư KTT
KMT,CTCP Kim khí Miền Trung
GLT,CTCP Kỹ thuật Điện Toàn cầu
C92,CTCP Xây dựng và Đầu tư 492
PXM,CTCP Xây lắp Dầu khí Miền Trung
VNH,CTCP Đầu tư Việt Việt Nhật
BAL,CTCP Bao bì Bia - Rượu - Nước giải khát
UNI,CTCP Đầu Tư Và Phát Triển Sao Mai Việt
NAU,CTCP Môi trường và Công trình Đô thị Nghệ An
DUS,CTCP Dịch vụ Đô thị Đà Lạt
TET,CTCP Bất động sản Pristie
L45,CTCP Lilama 45.1
MCC,CTCP Gạch ngói Cao cấp
PLX,Tập đoàn Xăng Dầu Việt Nam
SAS,CTCP Dịch vụ Hàng không Sân bay Tân Sơn Nhất
BVL,CTCP BV Land
BVS,CTCP Chứng khoán Bảo Việt
BHA,CTCP Thủy điện Bắc Hà
XMC,CTCP Đầu tư và Xây dựng Xuân Mai
VC2,CTCP Đầu tư và Xây dựng Vina2
VBT,CTCP Vận tải Bảo Thắng
HPG,CTCP Tập đoàn Hòa Phát
DTI,CTCP Đầu tư Đức Trung
HJS,CTCP Thủy điện Nậm Mu
GMD,CTCP Tập đoàn Gemadept
NAV,CTCP Nam Việt
VDS,CTCP Chứng khoán Rồng Việt
HLB,CTCP Bia và Nước giải khát Hạ Long
HAP,CTCP Tập đoàn Hapaco
CMK,CTCP Cơ khí Mạo Khê - Vinacomin
V68,CTCP Đầu tư Sản xuất và Thương mại Tuấn Anh
SED,CTCP Đầu tư và Phát triển Giáo dục Phương Nam
CCI,CTCP Đầu tư Phát triển Công nghiệp Thương mại Củ Chi
VNI,CTCP Đầu tư Bất động sản Việt Nam
BSP,CTCP Bia Sài Gòn - Phú Thọ
VNE,Tổng Công ty cổ phần Xây dựng Điện Việt Nam
TNW,CTCP Nước sạch Thái Nguyên
SPD,CTCP Xuất nhập khẩu Thủy sản Miền Trung
HHB,CTCP Bia Hà Nội - Hồng Hà
VGL,CTCP Mạ Kẽm Công Nghiệp Vingal - Vnsteel
WTC,CTCP Vận tải Thủy - Vinacomin
STT,CTCP Vận chuyển Sài Gòn Tourist
DQC,CTCP Tập đoàn Điện Quang
DNA,CTCP Điện Nước An Giang
CAG,CTCP Cảng An Giang
DSP,CTCP Dịch vụ Du lịch Phú Thọ
NTF,CTCP Dược - Vật tư Y tế Nghệ An
PHC,CTCP Xây dựng Phục Hưng Holdings
HII,CTCP An Tiến Industries
CFV,CTCP Cà phê Thắng Lợi
SZE,CTCP Môi trường Sonadezi
DNL,CTCP Logistics Cảng Đà Nẵng
MVC,CTCP Vật liệu và Xây dựng Bình Dương
LDG,CTCP Đầu tư LDG
BED,CTCP Sách và Thiết bị Trường học Đà Nẵng
PVB,CTCP Bọc ống Dầu khí Việt Nam
LLM,Tổng Công ty Lắp máy Việt Nam - CTCP
XPH,CTCP Xà phòng Hà Nội
TSD,CTCP Du lịch Trường Sơn COECCO
CTS,CTCP Chứng khoán VietinBank
BHN,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội
VGT,Tập đoàn Dệt May Việt Nam
BSA,CTCP Thủy điện Buôn Đôn
ILB,CTCP ICD Tân Cảng - Long Bình
PLC,Tổng Công ty Hóa dầu Petrolimex - CTCP
SBL,CTCP Bia Sài Gòn - Bạc Liêu
HDC,CTCP Phát triển Nhà Bà Rịa - Vũng Tàu
DSE,CTCP Chứng khoán DNSE
TV1,CTCP Tư vấn Xây dựng Điện 1
JOS,CTCP Chế biến Thủy sản xuất khẩu Minh Hải
BAF,CTCP Nông nghiệp BAF Việt Nam
TVA,CTCP Sứ Viglacera Thanh Trì
PWA,CTCP Bất động sản Dầu khí
HSG,CTCP Tập đoàn Hoa Sen
DIC,CTCP Đầu tư và Thương mại DIC
MEL,CTCP Thép Mê Lin
MCO,CTCP Đầu tư và Xây dựng BDC Việt Nam
